Date,Region,Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Discount_Percentage,Customer_Segment,Fast_Charging_Option,Units_Sold,Revenue
2023-07,Asia,Ford,Atto 3,Hatchback,52,16,Middle Income,Yes,252,3864960
2023-04,Oceania,BYD,iX,Truck,73,15,Eco-Conscious,Yes,271,4851165
2023-08,Oceania,Nissan,Leaf,SUV,77,12,High Income,Yes,315,8583120
2023-02,North America,Hyundai,ID.3,Truck,85,7,High Income,Yes,373,7867306
2023-01,Asia,Volkswagen,ID.5,Hatchback,74,14,Tech Enthusiast,Yes,317,6467306
2023-05,North America,BYD,Ariya,Truck,52,3,Budget Conscious,Yes,96,1905120
2023-04,Asia,Hyundai,ID.3,Truck,81,14,Middle Income,No,132,2710993
2023-01,North America,BMW,Ariya,Coupe,92,20,Middle Income,Yes,232,3715840
2023-02,South America,BMW,ID.5,Crossover,60,2,Middle Income,Yes,195,4493400
2023-01,South America,Volkswagen,ID.3,Hatchback,54,7,Tech Enthusiast,Yes,145,2901006
2023-06,Asia,Hyundai,ID.4,Coupe,78,17,Eco-Conscious,No,273,5731506
2023-11,Oceania,Nissan,Model Y,Hatchback,55,0,Tech Enthusiast,No,92,2767000
2023-02,Oceania,Kia,Elantra EV,Hatchback,68,1,Middle Income,Yes,334,6802176
2023-10,Oceania,Ford,Rio EV,Hatchback,80,4,High Income,No,230,4418400
2023-06,Oceania,Nissan,Corolla EV,SUV,53,2,High Income,Yes,259,5369182
2023-04,Oceania,BYD,iX,SUV,64,3,Tech Enthusiast,No,293,5660432
2023-05,Oceania,Ford,Model 3,Truck,97,10,Tech Enthusiast,Yes,200,3492000
2023-09,Oceania,Ford,i4,Truck,61,17,High Income,No,384,5761920
2023-07,North America,Volkswagen,Model Y,Truck,44,0,Tech Enthusiast,Yes,240,6489600
2023-11,Europe,BMW,Leaf,Hatchback,76,11,Tech Enthusiast,No,117,2497956
2023-03,Asia,BMW,Tucson EV,Coupe,44,9,High Income,Yes,60,1057320
2023-03,Oceania,Kia,ID.4,Hatchback,90,10,Budget Conscious,Yes,77,1386000
2023-05,Asia,Hyundai,Han EV,Hatchback,42,2,High Income,Yes,77,1578924
2023-01,South America,Kia,Atto 3,Sedan,46,7,Budget Conscious,No,85,1327475
2023-04,Africa,Toyota,i4,SUV,62,20,High Income,Yes,184,2579520
2023-10,North America,Toyota,i4,Truck,87,7,High Income,Yes,98,2040964
2023-07,Europe,Toyota,Leaf,Truck,86,18,High Income,Yes,262,5600888
2023-08,Oceania,Kia,Atto 3,Sedan,44,15,Tech Enthusiast,No,66,1124640
2023-01,Africa,BMW,iX,Coupe,83,7,High Income,Yes,200,3836800
2023-07,Oceania,BMW,Atto 3,Hatchback,99,14,Tech Enthusiast,Yes,300,7329540
2023-02,Africa,BMW,i4,Truck,42,2,Budget Conscious,No,272,5880797
2023-12,Oceania,Kia,i4,Hatchback,84,0,Budget Conscious,Yes,155,4661400
2023-12,Europe,Ford,Model 3,Truck,68,10,Tech Enthusiast,No,234,3912840
2023-03,Oceania,Hyundai,ID.4,Truck,93,15,Budget Conscious,Yes,209,3921265
2023-03,North America,Tesla,Rio EV,Truck,66,8,Tech Enthusiast,Yes,330,8313360
2023-09,Oceania,Ford,Atto 3,Hatchback,86,0,Middle Income,No,312,10795296
2023-07,North America,Hyundai,ID.5,Truck,50,4,High Income,No,129,2486880
2023-11,Oceania,Tesla,i4,Hatchback,77,10,High Income,Yes,239,5271300
2023-12,Africa,Kia,Model 3,Truck,84,12,Budget Conscious,No,244,4966100
2023-01,South America,Volkswagen,ID.3,Hatchback,47,17,Budget Conscious,Yes,398,6738773
2023-06,Africa,Volkswagen,ID.4,Hatchback,59,8,High Income,No,118,2971272
2023-02,South America,BYD,Han EV,Crossover,99,8,Tech Enthusiast,No,398,8741376
2023-01,Africa,Volkswagen,Corolla EV,Sedan,85,5,Budget Conscious,No,350,7756250
2023-06,Europe,Ford,iX,Crossover,73,3,High Income,Yes,281,6711931
2023-03,Asia,Ford,Corolla EV,Hatchback,68,15,Tech Enthusiast,No,166,2917444
2023-02,Asia,Kia,ID.4,Truck,93,18,Middle Income,Yes,305,6442425
2023-06,Africa,Nissan,Leaf,Truck,91,2,Tech Enthusiast,Yes,124,2541048
2023-07,Africa,Ford,iX,SUV,47,6,Tech Enthusiast,Yes,216,4124496
2023-09,Oceania,Kia,Corolla EV,Crossover,78,8,Middle Income,Yes,325,7737800
2023-07,North America,BMW,iX,Hatchback,51,1,Budget Conscious,Yes,286,5805634
2023-08,Africa,Toyota,iX,SUV,77,17,High Income,Yes,331,9037617
2023-04,Africa,Nissan,Ariya,SUV,50,14,Eco-Conscious,Yes,90,1537200
2023-05,North America,BYD,Leaf,Hatchback,96,2,Budget Conscious,Yes,352,8325120
2023-12,South America,Hyundai,Model 3,Hatchback,47,19,High Income,No,93,1730456
2023-12,Africa,Ford,Leaf,Hatchback,61,1,Eco-Conscious,Yes,347,7196013
2023-02,Africa,Hyundai,iX,Hatchback,43,3,Tech Enthusiast,No,277,5090478
2023-10,Oceania,BMW,ID.4,Truck,80,0,High Income,No,153,5239590
2023-05,Oceania,Ford,ID.3,Truck,46,17,Budget Conscious,No,335,5419200
2023-12,North America,BYD,Corolla EV,Truck,77,16,Budget Conscious,Yes,70,1452640
2023-03,North America,BMW,Atto 3,Truck,80,4,Middle Income,Yes,331,7295872
2023-09,Asia,BMW,i4,Crossover,67,2,Tech Enthusiast,Yes,162,3232748
2023-07,Europe,Nissan,Model 3,Hatchback,49,3,Budget Conscious,Yes,218,4159356
2023-01,Oceania,BYD,Leaf,Truck,96,8,High Income,Yes,343,9015800
2023-01,Oceania,BMW,Tucson EV,Hatchback,85,1,Budget Conscious,Yes,193,4142905
2023-03,Africa,Toyota,i4,Crossover,40,1,Tech Enthusiast,Yes,270,5346000
2023-02,Oceania,BYD,ID.5,Hatchback,71,10,Eco-Conscious,No,205,4169975
2023-12,Oceania,BMW,iX,Truck,63,13,Budget Conscious,No,270,4785627
2023-01,Oceania,BMW,Ariya,Hatchback,65,9,Budget Conscious,No,91,1914892
2023-04,Africa,Volkswagen,Model 3,Coupe,43,19,Budget Conscious,Yes,205,2746152
2023-06,South America,Volkswagen,Model 3,Sedan,63,7,Tech Enthusiast,No,212,4182260
2023-10,Oceania,Nissan,ID.4,Coupe,72,4,Budget Conscious,Yes,169,3237680
2023-04,North America,BYD,Atto 3,Truck,52,10,Eco-Conscious,No,203,2501764
2023-06,North America,Tesla,Atto 3,Coupe,45,9,High Income,Yes,58,1052670
2023-11,Africa,Kia,Leaf,SUV,65,12,Budget Conscious,No,313,6089676
2023-06,Oceania,Kia,iX,Hatchback,66,2,Tech Enthusiast,Yes,129,2934396
2023-01,North America,BMW,Rio EV,Hatchback,70,12,Tech Enthusiast,Yes,368,8561664
2023-08,Oceania,Volkswagen,ID.3,Truck,70,4,Middle Income,Yes,317,6942136
2023-12,Africa,Kia,Model 3,Sedan,86,2,Tech Enthusiast,No,315,8884608
2023-05,Europe,Ford,Rio EV,Crossover,44,8,Middle Income,Yes,320,6990080
2023-06,North America,Nissan,Tucson EV,Truck,68,3,Budget Conscious,Yes,213,4093452
2023-08,North America,Hyundai,Tucson EV,Truck,87,3,Tech Enthusiast,Yes,379,10671309
2023-07,North America,Volkswagen,Model 3,SUV,87,9,Budget Conscious,No,50,989550
2023-09,North America,Volkswagen,Leaf,Sedan,74,14,Eco-Conscious,Yes,269,5494836
2023-12,North America,Hyundai,i4,Sedan,79,20,Eco-Conscious,Yes,70,1565200
2023-12,North America,Nissan,Mach-E,Truck,79,4,High Income,No,282,7175040
2023-08,Oceania,Hyundai,Model 3,Crossover,55,11,Tech Enthusiast,No,69,1227505
2023-10,Asia,Volkswagen,Rio EV,SUV,91,19,Eco-Conscious,Yes,85,1636043
2023-07,North America,Kia,Leaf,Hatchback,49,10,High Income,Yes,70,1316700
2023-01,Africa,Nissan,Model 3,Truck,80,3,High Income,No,151,3595476
2023-12,North America,Toyota,Leaf,Hatchback,99,0,High Income,Yes,130,4972200
2023-10,Asia,Tesla,ID.4,Truck,73,20,Budget Conscious,Yes,69,1035084
2023-03,North America,BMW,Ariya,Crossover,42,10,Middle Income,Yes,321,5106720
2023-05,North America,BMW,Han EV,Hatchback,64,7,Eco-Conscious,No,165,3403860
2023-02,Africa,Nissan,Leaf,Sedan,82,2,High Income,Yes,236,7125552
2023-02,Oceania,BMW,Rio EV,Hatchback,93,14,Tech Enthusiast,No,370,7851444
2023-03,Africa,BMW,Model 3,Coupe,48,14,Tech Enthusiast,Yes,373,5876904
2023-06,South America,Tesla,Han EV,Crossover,61,17,High Income,Yes,257,4169957
2023-03,Asia,Hyundai,Atto 3,Hatchback,68,12,Tech Enthusiast,No,164,3209312
2023-07,Africa,BYD,Corolla EV,Truck,92,16,Tech Enthusiast,No,327,6330240
2023-10,Oceania,Volkswagen,Rio EV,SUV,71,3,Tech Enthusiast,No,319,6613611
2023-08,North America,BMW,Tucson EV,Truck,76,3,High Income,No,78,2020024
2023-08,Oceania,BYD,Rio EV,Hatchback,56,4,Budget Conscious,No,159,3065260
2023-06,Oceania,Hyundai,i4,Hatchback,91,18,Eco-Conscious,Yes,369,7647336
2023-12,Africa,Ford,ID.3,Hatchback,43,4,Eco-Conscious,No,83,1637194
2023-08,Africa,Tesla,Model 3,Hatchback,66,1,High Income,Yes,94,2126028
2023-06,North America,Kia,ID.4,Coupe,94,15,Middle Income,Yes,211,4205796
2023-04,Africa,Volkswagen,Elantra EV,Sedan,64,16,Budget Conscious,No,318,6471040
2023-01,Europe,Kia,Leaf,SUV,46,18,Tech Enthusiast,No,128,2494464
2023-01,Oceania,Volkswagen,Mach-E,Crossover,44,0,Eco-Conscious,Yes,57,1363320
2023-05,Oceania,BYD,Rio EV,Coupe,63,7,Middle Income,Yes,310,5830395
2023-12,South America,BMW,ID.5,SUV,78,6,Middle Income,No,197,4575344
2023-11,Oceania,Kia,Corolla EV,Sedan,68,6,Budget Conscious,Yes,86,1592928
2023-09,North America,Volkswagen,Atto 3,Crossover,44,19,Eco-Conscious,No,178,3025844
2023-02,Europe,Kia,ID.5,Crossover,99,8,Budget Conscious,Yes,141,3130288
2023-02,Asia,BYD,i4,Crossover,48,0,High Income,No,311,8785408
2023-12,North America,Ford,Rio EV,Hatchback,81,13,Budget Conscious,Yes,88,1772360
2023-10,Oceania,Nissan,Han EV,Truck,89,1,Eco-Conscious,Yes,207,4297803
2023-06,North America,Tesla,Elantra EV,Sedan,72,2,Budget Conscious,No,320,6811200
2023-06,Africa,Kia,ID.3,Sedan,77,1,Tech Enthusiast,No,274,5730642
2023-11,Africa,BYD,Han EV,Truck,44,19,High Income,No,132,2280872
2023-07,North America,Volkswagen,Leaf,Coupe,52,11,Budget Conscious,Yes,227,3266124
2023-12,Africa,Tesla,ID.3,Hatchback,72,14,Budget Conscious,No,286,6093456
2023-05,Asia,Kia,Rio EV,Crossover,46,14,Eco-Conscious,No,372,6335040
2023-04,North America,Ford,iX,Hatchback,49,9,Middle Income,Yes,152,2834224
2023-06,North America,BYD,Atto 3,Hatchback,81,15,Tech Enthusiast,No,140,3099460
2023-09,Africa,BMW,Model Y,SUV,87,2,Middle Income,No,212,6107284
2023-10,Asia,BYD,Han EV,Hatchback,62,3,Budget Conscious,No,363,7613574
2023-06,North America,Volkswagen,Model Y,Truck,66,17,High Income,No,322,5246912
2023-10,Africa,BYD,Leaf,Crossover,75,6,High Income,Yes,322,9070284
2023-02,North America,Ford,Corolla EV,Hatchback,86,11,Budget Conscious,Yes,171,3453534
2023-08,Africa,Hyundai,Rio EV,Coupe,64,2,Tech Enthusiast,Yes,164,3352064
2023-07,Africa,Volkswagen,Han EV,Hatchback,95,9,Budget Conscious,No,355,7605927
2023-03,South America,Toyota,Han EV,Crossover,47,19,Tech Enthusiast,Yes,309,4757720
2023-06,Oceania,Hyundai,Corolla EV,Hatchback,79,11,High Income,Yes,345,7649205
2023-08,Africa,Nissan,Leaf,SUV,76,15,Budget Conscious,No,213,4005942
2023-12,North America,Toyota,ID.4,Hatchback,72,13,Tech Enthusiast,Yes,98,2092848
2023-04,North America,Volkswagen,Atto 3,Hatchback,57,14,Tech Enthusiast,No,154,3009968
2023-04,Oceania,BMW,Rio EV,Truck,82,8,Budget Conscious,Yes,57,1285248
2023-05,Oceania,Kia,iX,Truck,76,8,Budget Conscious,No,190,4146080
2023-12,Oceania,Hyundai,Elantra EV,Truck,91,20,Budget Conscious,Yes,210,3028320
2023-08,North America,Nissan,iX,Sedan,79,4,Tech Enthusiast,Yes,181,3747044
2023-01,Africa,BMW,Atto 3,SUV,94,11,Tech Enthusiast,Yes,246,5176260
2023-03,Asia,Kia,Corolla EV,Truck,63,14,Budget Conscious,No,224,4064256
2023-08,Africa,Toyota,i4,Hatchback,53,3,Middle Income,No,60,1178910
2023-02,North America,Toyota,ID.4,SUV,80,9,Eco-Conscious,Yes,398,13030240
2023-02,Asia,Volkswagen,Model 3,Coupe,82,17,High Income,Yes,237,4619152
2023-04,Africa,Hyundai,Model 3,Hatchback,44,11,High Income,Yes,154,2915112
2023-06,Oceania,Toyota,Elantra EV,Hatchback,40,17,Tech Enthusiast,Yes,271,3678135
2023-12,Oceania,BYD,Ariya,Hatchback,80,18,Budget Conscious,Yes,282,5525016
2023-12,North America,Kia,i4,SUV,77,9,High Income,No,157,3256608
2023-08,Africa,BMW,Atto 3,Coupe,90,7,High Income,Yes,398,11145840
2023-01,Oceania,Kia,Han EV,Hatchback,60,0,Budget Conscious,Yes,111,3058620
2023-11,Asia,Hyundai,Rio EV,Hatchback,54,0,Budget Conscious,Yes,136,2617440
2023-06,South America,BYD,Han EV,Truck,52,5,High Income,Yes,305,10015200
2023-06,Africa,Toyota,Model S,Hatchback,100,4,High Income,No,151,2897040
2023-07,Europe,Volkswagen,Mach-E,Hatchback,80,14,Tech Enthusiast,No,234,4570560
2023-01,North America,Kia,Model S,Truck,60,19,Eco-Conscious,No,367,6929472
2023-07,North America,Ford,Rio EV,Coupe,74,18,High Income,No,323,7187720
2023-05,South America,Toyota,Atto 3,SUV,82,14,Budget Conscious,Yes,286,5969528
2023-02,Oceania,Nissan,Rio EV,Truck,66,0,Budget Conscious,No,256,5990912
2023-08,Asia,Kia,i4,Coupe,72,10,Middle Income,No,186,3522240
2023-09,North America,Tesla,Model 3,Coupe,93,8,Tech Enthusiast,Yes,208,4372352
2023-05,Oceania,Volkswagen,Leaf,Hatchback,51,3,Middle Income,No,130,2451570
2023-08,Asia,Toyota,Model 3,Crossover,52,13,Budget Conscious,No,217,3385984
2023-10,North America,BYD,Leaf,Coupe,67,7,High Income,Yes,116,2775292
2023-02,Africa,Ford,iX,Truck,65,13,Budget Conscious,No,160,2903040
2023-12,Africa,Toyota,Elantra EV,Crossover,98,16,Eco-Conscious,Yes,355,10309120
2023-07,Europe,Hyundai,iX,Coupe,89,17,High Income,No,124,3377748
2023-11,North America,Hyundai,Elantra EV,Sedan,47,1,Middle Income,Yes,279,5245383
2023-12,Africa,Kia,Atto 3,Sedan,53,14,High Income,Yes,345,6170430
2023-02,Asia,Ford,iX,SUV,99,10,High Income,No,321,8619579
2023-01,North America,BMW,Rio EV,Truck,79,0,Tech Enthusiast,Yes,187,5513700
2023-04,Africa,Nissan,Model 3,Truck,86,7,Budget Conscious,Yes,269,5638398
2023-12,Africa,Toyota,Leaf,SUV,45,9,Tech Enthusiast,No,373,6361560
2023-08,South America,Hyundai,Leaf,Coupe,46,2,Eco-Conscious,No,241,4865652
2023-01,North America,Ford,Ariya,Sedan,99,16,Tech Enthusiast,Yes,322,10385536
2023-11,Oceania,Toyota,Atto 3,SUV,67,17,Budget Conscious,No,116,2102104
2023-04,North America,Kia,Rio EV,Coupe,44,4,Eco-Conscious,No,89,1703020
2023-01,Africa,Toyota,ID.4,SUV,89,16,Tech Enthusiast,Yes,317,8525576
2023-07,Oceania,BYD,Corolla EV,Sedan,83,7,Middle Income,Yes,340,7590600
2023-01,Oceania,Ford,Corolla EV,Hatchback,88,11,Budget Conscious,No,286,5593472
2023-03,North America,Kia,Corolla EV,Hatchback,76,6,Eco-Conscious,Yes,160,3238400
2023-09,Asia,Hyundai,Mach-E,Truck,75,8,Eco-Conscious,Yes,335,9111600
2023-04,North America,Nissan,ID.5,Sedan,49,10,Eco-Conscious,No,240,3326400
2023-12,Oceania,Kia,Mach-E,Truck,99,3,High Income,No,173,5273649
2023-09,Oceania,Toyota,Elantra EV,Truck,71,2,High Income,No,276,5596920
2023-09,Oceania,Nissan,Tucson EV,SUV,51,3,Budget Conscious,Yes,391,7262491
2023-05,Asia,Nissan,Model Y,Hatchback,81,14,Budget Conscious,No,385,7674980
2023-03,North America,Volkswagen,ID.4,Truck,63,14,Eco-Conscious,Yes,241,4348188
2023-08,North America,Ford,Model Y,Crossover,53,15,Tech Enthusiast,No,192,3560472
2023-01,Oceania,Hyundai,Ariya,Hatchback,52,9,High Income,Yes,92,1762656
2023-06,Africa,BMW,ID.4,Hatchback,40,3,High Income,Yes,180,3455280
2023-10,North America,Nissan,Rio EV,Truck,87,18,Tech Enthusiast,Yes,235,6172734
2023-11,North America,BMW,ID.5,SUV,85,16,High Income,No,283,6860556
2023-03,South America,Nissan,Rio EV,Crossover,78,18,Budget Conscious,No,236,3779568
2023-07,Asia,Kia,Leaf,SUV,78,1,Tech Enthusiast,No,227,5098956
2023-04,North America,BMW,Han EV,SUV,43,0,Tech Enthusiast,Yes,326,7097012
2023-07,Africa,Hyundai,Model 3,Hatchback,66,15,High Income,No,311,6236061
2023-11,Africa,Ford,Atto 3,Truck,75,20,Tech Enthusiast,Yes,82,1092600
2023-03,Oceania,Volkswagen,Tucson EV,Crossover,72,20,Budget Conscious,Yes,60,864000
2023-08,Asia,Toyota,Rio EV,Hatchback,90,9,High Income,Yes,52,1023120
2023-05,North America,Kia,Tucson EV,Truck,48,15,Eco-Conscious,Yes,216,3919680
2023-01,Oceania,Ford,Rio EV,Hatchback,65,14,Eco-Conscious,No,321,5731170
2023-06,Oceania,BMW,Model 3,SUV,53,1,High Income,Yes,341,6728653
2023-11,Oceania,Tesla,Elantra EV,Coupe,90,14,Tech Enthusiast,Yes,87,1852992
2023-05,North America,Kia,Leaf,Hatchback,97,12,Middle Income,Yes,390,13271040
2023-06,Africa,Toyota,Model 3,Hatchback,63,2,Tech Enthusiast,Yes,348,6711952
2023-01,Europe,Ford,ID.3,Sedan,72,8,Budget Conscious,No,198,4642416
2023-07,Oceania,BYD,Mach-E,Hatchback,96,3,High Income,No,157,3887424
2023-09,North America,BMW,Atto 3,Sedan,85,10,High Income,Yes,270,5847750
2023-10,Africa,Kia,Atto 3,Hatchback,52,4,Tech Enthusiast,Yes,65,1733240
2023-09,North America,BMW,Model 3,Hatchback,93,9,Tech Enthusiast,No,231,4808169
2023-09,Africa,Ford,Elantra EV,Hatchback,82,18,Budget Conscious,No,96,1527552
2023-06,North America,Hyundai,Corolla EV,Coupe,64,0,Eco-Conscious,Yes,61,2017216
2023-07,Africa,Hyundai,Rio EV,SUV,61,9,Eco-Conscious,Yes,132,2415600
2023-01,North America,Hyundai,Model S,Hatchback,66,3,High Income,Yes,332,6906984
2023-06,North America,Kia,Ariya,SUV,67,19,Budget Conscious,Yes,349,6266642
2023-07,Oceania,Tesla,Leaf,Truck,62,8,Tech Enthusiast,Yes,388,7460544
2023-09,Africa,Toyota,Han EV,Coupe,89,4,Budget Conscious,Yes,376,12679616
2023-06,South America,Nissan,Mach-E,Hatchback,40,11,Tech Enthusiast,No,246,3728040
2023-09,Europe,Toyota,i4,SUV,64,7,Eco-Conscious,Yes,202,4535676
2023-02,Oceania,BMW,Corolla EV,Coupe,73,3,Tech Enthusiast,Yes,208,5998464
2023-10,North America,Kia,Han EV,Truck,46,13,Middle Income,Yes,299,6137084
2023-06,Europe,Nissan,Elantra EV,Hatchback,80,0,High Income,Yes,271,6416000
2023-08,Oceania,Volkswagen,Atto 3,Sedan,55,3,Budget Conscious,No,355,7111365
2023-12,Africa,Volkswagen,iX,SUV,79,2,Middle Income,Yes,269,5741556
2023-03,North America,Nissan,Han EV,Sedan,45,9,Eco-Conscious,Yes,278,4616820
2023-04,Africa,Ford,Rio EV,SUV,85,19,Middle Income,Yes,323,5714741
2023-10,North America,Volkswagen,Han EV,Hatchback,55,10,Budget Conscious,No,80,1848000
2023-12,Oceania,Hyundai,Leaf,Truck,63,15,Budget Conscious,No,344,6758160
2023-06,Oceania,Ford,Han EV,Truck,59,16,Budget Conscious,Yes,175,3496830
2023-10,Oceania,Ford,Tucson EV,Hatchback,57,19,Tech Enthusiast,No,387,4854228
2023-04,Oceania,BMW,Elantra EV,Coupe,42,7,Budget Conscious,Yes,392,6511488
2023-06,North America,BMW,Leaf,SUV,47,6,High Income,Yes,228,4413600
2023-03,Oceania,Tesla,Han EV,SUV,61,6,Budget Conscious,No,266,4744740
2023-01,Asia,Ford,ID.4,Sedan,97,0,Middle Income,No,156,4802700
2023-04,Asia,Kia,Ariya,Truck,45,9,Tech Enthusiast,Yes,288,5157000
2023-09,North America,Toyota,Corolla EV,Hatchback,51,6,Tech Enthusiast,No,308,5824504
2023-05,North America,Hyundai,Ariya,Sedan,71,19,Middle Income,No,242,5118642
2023-12,Oceania,BYD,Atto 3,Truck,44,3,High Income,Yes,398,7892488
2023-06,Africa,Kia,Mach-E,Hatchback,44,13,Middle Income,Yes,327,6323784
2023-03,Asia,Hyundai,Rio EV,Hatchback,66,18,Budget Conscious,No,61,1040580
2023-02,North America,Tesla,ID.3,Truck,49,11,High Income,Yes,240,5443200
2023-02,Africa,Hyundai,ID.3,SUV,100,8,Budget Conscious,No,248,6811904
2023-01,Oceania,BYD,i4,Truck,100,3,Tech Enthusiast,Yes,102,1977300
2023-04,Asia,Kia,Mach-E,Truck,53,6,Eco-Conscious,No,355,6790155
2023-08,Oceania,Hyundai,Tucson EV,Hatchback,87,18,Eco-Conscious,Yes,300,10146200
2023-01,North America,BMW,Model Y,Hatchback,87,8,Tech Enthusiast,No,279,6768096
2023-02,Africa,BMW,i4,Coupe,46,9,Tech Enthusiast,Yes,320,5605120
2023-03,North America,Kia,Atto 3,Coupe,84,19,High Income,Yes,99,2587856
2023-01,Oceania,Kia,Leaf,Hatchback,87,18,Middle Income,Yes,178,4407672
2023-01,Africa,Kia,Corolla EV,SUV,63,5,Budget Conscious,Yes,56,1067892
2023-12,Europe,Volkswagen,ID.4,Sedan,42,14,High Income,Yes,374,5107272
2023-11,Europe,Volkswagen,Model 3,Hatchback,46,15,High Income,Yes,349,5314512
2023-06,North America,BMW,ID.3,Hatchback,45,3,Tech Enthusiast,No,108,2222784
2023-07,Asia,Ford,Model S,Hatchback,41,3,Middle Income,Yes,148,2888720
2023-02,Africa,Volkswagen,ID.3,SUV,85,14,High Income,No,124,2589904
2023-07,North America,BYD,Elantra EV,Truck,74,14,Middle Income,Yes,297,5125482
2023-10,Asia,Kia,Rio EV,SUV,86,7,Budget Conscious,No,114,2679876
2023-05,Asia,BMW,Model Y,Sedan,56,11,Tech Enthusiast,Yes,272,4841728
2023-04,Oceania,BMW,Tucson EV,Hatchback,82,7,Tech Enthusiast,Yes,165,3799460
2023-10,Europe,Ford,Model S,Hatchback,74,14,Budget Conscious,No,315,5624700
2023-10,Oceania,BMW,i4,Hatchback,72,0,Tech Enthusiast,Yes,373,10745232
2023-11,North America,Volkswagen,Model Y,Hatchback,51,7,Eco-Conscious,No,234,3545856
2023-06,North America,BYD,Mach-E,Hatchback,91,1,Budget Conscious,Yes,304,6937424
2023-09,Oceania,Tesla,Model 3,SUV,42,5,Budget Conscious,No,352,5328192
2023-02,Asia,BYD,iX,Sedan,44,18,Budget Conscious,Yes,146,2242692
2023-09,North America,Ford,Leaf,Crossover,46,9,Tech Enthusiast,Yes,222,4309872
2023-01,Africa,BMW,Elantra EV,Hatchback,84,13,Tech Enthusiast,No,162,4051320
2023-01,Oceania,BMW,Atto 3,Hatchback,79,1,Tech Enthusiast,Yes,60,1304040
2023-09,North America,Kia,Han EV,SUV,90,17,Tech Enthusiast,Yes,286,8634900
2023-01,South America,Hyundai,Rio EV,Coupe,65,14,High Income,No,382,7308570
2023-02,North America,Nissan,Mach-E,Hatchback,94,3,Eco-Conscious,Yes,235,6777510
2023-10,South America,Ford,ID.3,SUV,45,11,High Income,Yes,246,4058730
2023-12,Oceania,Tesla,Model 3,Coupe,64,7,Eco-Conscious,No,270,5003760
2023-03,North America,BMW,Rio EV,Coupe,91,5,High Income,Yes,127,2934560
2023-06,Europe,Toyota,ID.3,Truck,73,0,Eco-Conscious,Yes,312,7380528
2023-11,Africa,Kia,ID.4,SUV,52,7,Eco-Conscious,No,379,7561762
2023-06,South America,Kia,Mach-E,Sedan,44,13,Budget Conscious,No,246,4169874
